ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12769828,2019 Toyota RAV4 GX (2WD) Mxaa52R,40490,Toyota,RAV4,GX (2WD),Mxaa52R,2019,41837,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12770134,2007 Toyota RAV4 Cruiser (4X4) ACA33R,11900,Toyota,RAV4,Cruiser (4X4),ACA33R,2007,244907,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12770542,2008 Toyota RAV4 ZR6 GSA33R,8950,Toyota,RAV4,ZR6,GSA33R,2008,159900,Wagon,Automatic,Unleaded Petrol, Used,3456,Red,5
12770735,2012 Toyota RAV4 Altitude (4X4) ACA33R MY12,22990,Toyota,RAV4,Altitude (4X4),ACA33R MY12,2012,138313,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12772466,2019 Toyota RAV4 GX 2WD Hybrid Axah52R,47990,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2019,54243,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12774712,2020 Toyota RAV4 Cruiser AWD Hybrid Axah54R,54990,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2020,52521,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Red,5
12775159,2001 Toyota RAV4 Cruiser (4X4) ACA21R,6990,Toyota,RAV4,Cruiser (4X4),ACA21R,2001,179988,Wagon,Automatic,Unleaded Petrol, Used,1998,Gold,5
12776215,2006 Toyota RAV4 CV (4X4) ACA33R,12949,Toyota,RAV4,CV (4X4),ACA33R,2006,198236,Wagon,Automatic,Unleaded Petrol, Used,2362,Black,5
12777413,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,36999,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,46665,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12777534,2016 Toyota RAV4 GX (2WD) ZSA42R MY16,33888,Toyota,RAV4,GX (2WD),ZSA42R MY16,2016,57903,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12778095,2010 Toyota RAV4 Cruiser (2WD) ACA38R,15990,Toyota,RAV4,Cruiser (2WD),ACA38R,2010,159242,Wagon,Automatic,Unleaded Petrol, Used,2362,Grey,5
12778277,2018 Toyota RAV4 GX (4X4) ASA44R MY18,30990,Toyota,RAV4,GX (4X4),ASA44R MY18,2018,93428,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12779203,2020 Toyota RAV4 GX (awd) Hybrid Axah54R,52498,Toyota,RAV4,GX (awd) Hybrid,Axah54R,2020,15151,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Grey,5
12782252,2022 Toyota RAV4 GX (awd) Hybrid Axah54R,55880,Toyota,RAV4,GX (awd) Hybrid,Axah54R,2022,30,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12782452,2013 Toyota RAV4 GXL (2WD) ZSA42R,19555,Toyota,RAV4,GXL (2WD),ZSA42R,2013,157825,Wagon,Automatic,Unleaded Petrol, Used,1987,Red,5
